iter	Logloss
0	0.6689028521
1	0.6481843626
2	0.6325651411
3	0.6193923905
4	0.6096166701
5	0.6011727238
6	0.5948791393
7	0.5897229851
8	0.5850239488
9	0.58201999
10	0.5798696641
11	0.5773410042
12	0.5750210859
13	0.5737759659
14	0.5727454582
15	0.5718864778
16	0.5709289939
17	0.5698789394
18	0.5689332649
19	0.5682649993
20	0.5679124418
21	0.567147448
22	0.5669317935
23	0.5666416567
24	0.5661922399
25	0.5658383119
26	0.5655552248
27	0.565123905
28	0.5648569042
29	0.5646700297
30	0.5644193728
31	0.5642132265
32	0.5638702322
33	0.5636582029
34	0.5635081079
35	0.5632748759
36	0.563032566
37	0.562762941
38	0.5625700519
39	0.5623916416
40	0.5621514655
41	0.5620142027
42	0.561852163
43	0.5616798425
44	0.5614835959
45	0.56127582
46	0.5610552104
47	0.5609057505
48	0.5606447698
49	0.5605499337
50	0.5603249451
51	0.5601104332
52	0.5599770163
53	0.559822907
54	0.5596183551
55	0.5594900559
56	0.5593722507
57	0.5591809627
58	0.559000927
59	0.5588011973
60	0.5586501318
61	0.5585062855
62	0.5582252247
63	0.5581112356
64	0.5580341684
65	0.5578973793
66	0.5577479844
67	0.5576145423
68	0.5574406662
69	0.5573001471
70	0.5572287046
71	0.5570555446
72	0.5568538701
73	0.5567346728
74	0.5565212722
75	0.5564091073
76	0.5562410795
77	0.5560574532
78	0.55589169
79	0.5557828951
80	0.5556381791
81	0.5554219614
82	0.5551847228
83	0.5550077814
84	0.554986914
85	0.5549048271
86	0.5546809353
87	0.5545165672
88	0.5544008093
89	0.5542001762
90	0.5539969118
91	0.5538780121
92	0.5536574882
93	0.5535681989
94	0.5534316429
95	0.5533051728
96	0.553123077
97	0.5529051554
98	0.5527099394
99	0.5525812291
100	0.5524890624
101	0.5522467315
102	0.5521342447
103	0.5519207104
104	0.5518158479
105	0.5515892894
106	0.5515137714
107	0.5513499284
108	0.5511278724
109	0.5509191589
110	0.5507412039
111	0.5506031467
112	0.5503739326
113	0.5501991123
114	0.550006501
115	0.5498660811
116	0.5495871686
117	0.5493482235
118	0.5490497634
119	0.5488515263
120	0.548619507
121	0.5483547547
122	0.5482335774
123	0.5480140233
124	0.5477720224
125	0.5475683169
126	0.5473532675
127	0.5470993016
128	0.5469655043
129	0.5468760828
130	0.5466475862
131	0.5464606118
132	0.5462597263
133	0.5462487871
134	0.5460306159
135	0.5457846889
136	0.5457675272
137	0.5455387631
138	0.545359124
139	0.5451627118
140	0.5449471644
141	0.5446832016
142	0.5444265334
143	0.5441047627
144	0.5439206312
145	0.5437399132
146	0.5435799218
147	0.5433306484
148	0.5431844997
149	0.5429874569
150	0.5427727129
151	0.5426515299
152	0.5424886229
153	0.5423231822
154	0.5421258
155	0.5418497361
156	0.5415801624
157	0.5413494715
158	0.5411865597
159	0.5409883271
160	0.54078848
161	0.5406380075
162	0.5405318898
163	0.5404135812
164	0.5401527618
165	0.5398530239
166	0.5397201895
167	0.5394346878
168	0.539218231
169	0.5390431247
170	0.5388439519
171	0.5385952767
172	0.5384003055
173	0.5381855937
174	0.5379915092
175	0.5377579487
176	0.5375451185
177	0.5373912423
178	0.5371280674
179	0.5369400879
180	0.5366699422
181	0.5364337138
182	0.5362639221
183	0.5359832998
184	0.5357930392
185	0.5356273773
186	0.5354657223
187	0.5352829783
188	0.5350711856
189	0.5347941036
190	0.5345735634
191	0.5343407092
192	0.534142154
193	0.5339654208
194	0.5336776691
195	0.5334184598
196	0.5332289589
197	0.5330323416
198	0.5328702256
199	0.5326060572
