iter	Passed	Remaining
0	6	2566
1	12	2430
2	18	2461
3	24	2423
4	30	2406
5	37	2432
6	43	2421
7	49	2431
8	55	2420
9	61	2414
10	68	2410
11	74	2401
12	80	2394
13	86	2372
14	92	2365
15	97	2350
16	103	2333
17	109	2325
18	116	2326
19	121	2309
20	127	2295
21	133	2288
22	139	2288
23	145	2275
24	150	2260
25	156	2252
26	162	2244
27	167	2229
28	173	2223
29	179	2207
30	185	2202
31	191	2197
32	196	2184
33	201	2171
34	207	2162
35	212	2151
36	217	2138
37	224	2136
38	230	2130
39	235	2119
40	241	2113
41	246	2104
42	252	2098
43	258	2090
44	263	2081
45	269	2074
46	275	2069
47	281	2064
48	287	2057
49	292	2048
50	298	2042
51	304	2034
52	309	2025
53	315	2022
54	321	2014
55	327	2009
56	332	2003
57	338	1996
58	343	1987
59	349	1980
60	355	1978
61	361	1970
62	367	1963
63	372	1956
64	378	1950
65	384	1944
66	389	1937
67	395	1929
68	400	1922
69	406	1916
70	412	1910
71	417	1903
72	423	1895
73	428	1887
74	433	1879
75	439	1874
76	445	1867
77	450	1860
78	456	1854
79	462	1849
80	467	1842
81	473	1835
82	478	1828
83	484	1823
84	490	1817
85	496	1812
86	501	1805
87	508	1801
88	514	1797
89	519	1789
90	525	1783
91	530	1776
92	536	1770
93	541	1764
94	547	1757
95	552	1750
96	558	1744
97	564	1738
98	570	1733
99	576	1728
100	582	1723
101	587	1717
102	593	1710
103	599	1705
104	604	1698
105	609	1690
106	614	1682
107	620	1676
108	624	1668
109	629	1660
110	635	1654
111	640	1647
112	645	1640
113	651	1634
114	656	1627
115	661	1620
116	667	1613
117	672	1606
118	676	1598
119	682	1592
120	687	1586
121	692	1577
122	697	1570
123	703	1565
124	707	1557
125	713	1550
126	719	1545
127	723	1538
128	729	1531
129	734	1525
130	739	1518
131	744	1511
132	750	1505
133	755	1499
134	760	1493
135	765	1486
136	770	1480
137	776	1473
138	781	1466
139	785	1459
140	791	1453
141	796	1446
142	801	1440
143	806	1434
144	811	1427
145	816	1421
146	822	1414
147	827	1408
148	832	1401
149	837	1395
150	842	1389
151	847	1382
152	853	1377
153	857	1370
154	863	1364
155	868	1358
156	874	1352
157	879	1346
158	884	1340
159	889	1333
160	894	1328
161	899	1321
162	904	1315
163	909	1308
164	914	1302
165	920	1297
166	926	1292
167	931	1286
168	936	1280
169	941	1274
170	946	1268
171	951	1261
172	956	1255
173	961	1249
174	966	1243
175	971	1236
176	976	1230
177	981	1224
178	986	1217
179	990	1211
180	996	1205
181	1001	1199
182	1005	1192
183	1011	1187
184	1016	1180
185	1021	1175
186	1026	1168
187	1030	1162
188	1035	1156
189	1040	1150
190	1045	1144
191	1050	1138
192	1055	1131
193	1060	1126
194	1065	1120
195	1070	1114
196	1075	1107
197	1079	1101
198	1085	1096
199	1090	1090
200	1095	1084
201	1100	1079
202	1105	1073
203	1110	1067
204	1116	1061
205	1120	1055
206	1126	1049
207	1130	1043
208	1135	1037
209	1140	1031
210	1145	1025
211	1149	1019
212	1154	1013
213	1159	1008
214	1164	1002
215	1169	996
216	1175	990
217	1179	984
218	1185	979
219	1190	973
220	1195	967
221	1200	962
222	1206	957
223	1213	953
224	1219	948
225	1224	942
226	1229	937
227	1235	931
228	1240	926
229	1246	921
230	1251	915
231	1257	910
232	1263	905
233	1268	899
234	1274	894
235	1279	889
236	1284	883
237	1290	878
238	1294	872
239	1300	866
240	1305	861
241	1310	855
242	1315	850
243	1321	844
244	1325	838
245	1331	833
246	1336	828
247	1341	822
248	1347	817
249	1353	811
250	1358	806
251	1364	801
252	1370	796
253	1376	791
254	1382	785
255	1387	780
256	1392	774
257	1397	769
258	1402	763
259	1407	758
260	1412	752
261	1417	746
262	1422	741
263	1427	735
264	1432	729
265	1437	724
266	1443	718
267	1448	713
268	1453	707
269	1457	701
270	1462	696
271	1468	691
272	1475	686
273	1481	681
274	1486	675
275	1492	670
276	1497	665
277	1503	659
278	1508	654
279	1514	649
280	1519	643
281	1525	638
282	1531	633
283	1536	627
284	1541	622
285	1546	616
286	1551	610
287	1556	605
288	1561	599
289	1566	594
290	1572	588
291	1577	583
292	1582	578
293	1588	572
294	1593	567
295	1598	561
296	1604	556
297	1608	550
298	1613	545
299	1619	539
300	1624	534
301	1629	528
302	1634	523
303	1639	517
304	1644	512
305	1649	506
306	1655	501
307	1660	495
308	1664	490
309	1669	484
310	1675	479
311	1680	474
312	1685	468
313	1690	463
314	1695	457
315	1700	451
316	1705	446
317	1710	441
318	1715	435
319	1719	429
320	1725	424
321	1730	419
322	1735	413
323	1741	408
324	1745	402
325	1750	397
326	1755	391
327	1760	386
328	1766	381
329	1771	375
330	1776	370
331	1781	364
332	1787	359
333	1791	354
334	1796	348
335	1801	343
336	1806	337
337	1811	332
338	1816	326
339	1821	321
340	1826	315
341	1830	310
342	1835	305
343	1840	299
344	1845	294
345	1850	288
346	1855	283
347	1860	277
348	1864	272
349	1869	267
350	1874	261
351	1879	256
352	1884	250
353	1889	245
354	1893	240
355	1898	234
356	1903	229
357	1908	223
358	1913	218
359	1919	213
360	1925	207
361	1930	202
362	1935	197
363	1940	191
364	1945	186
365	1950	181
366	1955	175
367	1960	170
368	1965	165
369	1970	159
370	1975	154
371	1979	149
372	1985	143
373	1989	138
374	1994	132
375	1999	127
376	2004	122
377	2009	116
378	2014	111
379	2019	106
380	2024	100
381	2029	95
382	2034	90
383	2039	84
384	2044	79
385	2049	74
386	2054	68
387	2058	63
388	2063	58
389	2068	53
390	2073	47
391	2078	42
392	2083	37
393	2088	31
394	2093	26
395	2098	21
396	2103	15
397	2108	10
398	2113	5
399	2118	0
